Depth,GR,Caliper,Ring resistivity,Porosity
50.292,96.41287271,21.978874,1.1793,0.497271605
50.4444,109.9711319,21.783802,1.0877,0.489148148
50.5968,112.8289364,21.961348,1.1042,0.502895062
50.7492,115.4451338,22.281642,1.12,0.502851852
50.9016,111.6840654,22.508972,1.1088,0.506308642
51.054,108.1706404,22.331934,1.1318,0.507067901
51.2064,107.6651715,22.362668,1.1608,0.469993827
51.3588,111.4913083,22.76094,1.1789,0.487345679
51.5112,111.0999624,23.905718,1.1502,0.475314815
51.6636,110.9490214,24.146764,1.0772,0.483950617
51.816,101.5685026,24.419306,0.9435,0.477345679
51.9684,102.7443429,23.890224,1.1447,0.482419753
52.1208,98.88524161,24.203152,1.1992,0.502518519
52.2732,105.574298,23.870666,1.2145,0.49295679
52.4256,104.3622571,23.552404,1.2593,0.48754321
52.578,106.7339953,23.290276,1.2431,0.476592593
52.7304,106.2306893,23.350982,1.286,0.49491358
52.8828,109.0696581,23.617682,1.2573,0.498074074
53.0352,111.6836624,23.835868,1.3066,0.493345679
53.1876,108.5364785,23.890986,1.2687,0.479796296
53.34,111.383382,23.754588,1.1764,0.468925926
53.4924,113.6260359,23.28799,1.1548,0.46391358
53.6448,111.457746,23.24989,1.1826,0.470376543
53.7972,110.0094564,23.503636,1.1848,0.469666667
53.9496,108.5558355,23.914862,1.19,0.468623457
54.102,109.4879864,24.038814,1.1841,0.469660494
54.2544,105.8788245,23.868634,1.2038,0.477444444
54.4068,102.2711555,23.952962,1.1893,0.465679012
54.5592,104.1599705,23.600918,1.138,0.469006173
54.7116,105.0925113,23.562818,1.1825,0.466962963
54.864,110.3229808,23.221696,1.3013,0.484240741
55.0164,110.1694782,23.617682,1.3163,0.478524691
55.1688,107.5198335,23.520146,1.2601,0.475055556
55.3212,105.5768946,23.969218,1.2202,0.470648148
55.4736,103.7748763,24.049482,1.1836,0.448104938
55.626,105.8890371,24.553926,1.177,0.454228395
55.7784,99.90561771,24.389588,1.2297,0.452296296
55.9308,101.1955911,24.204422,1.2144,0.469302469
56.0832,103.8066139,23.495254,1.2088,0.453487654
56.2356,112.8502417,22.974808,1.2357,0.459864198
56.388,108.1753458,22.568662,1.2338,0.455092593
56.5404,103.1495529,22.606762,1.1754,0.475796296
56.6928,99.79321347,22.831044,1.1577,0.475401235
56.8452,105.72464,23.134574,1.1284,0.493117284
56.9976,108.5592653,23.710392,1.1602,0.493123457
57.15,109.7266934,24.098504,1.18,0.485487654
57.3024,110.2989603,24.226012,1.1895,0.486691358
57.4548,109.5622814,24.31034,1.1849,0.476888889
57.6072,108.8145813,24.19731,1.1582,0.485697531
57.7596,106.7754665,24.451818,1.1845,0.481259259
57.912,104.2566466,23.998682,1.1484,0.498555556
58.0644,99.49172053,23.57501,1.1464,0.503938272
58.2168,98.98547394,23.253954,1.1582,0.511598765
58.3692,102.173314,23.410164,1.1606,0.507154321
58.5216,99.77646723,23.51532,1.1744,0.520234568
58.674,101.1814318,23.5585,1.1912,0.511506173
58.8264,99.26098358,23.739094,1.1842,0.517308642
58.9788,101.8526626,24.28621,1.1934,0.504191358
59.1312,98.75163419,24.256238,1.1869,0.507055556
59.2836,94.69688257,23.988014,1.1856,0.513524691
59.436,93.72848669,23.446232,1.2263,0.515444444
59.5884,94.42586399,23.024084,1.2702,0.511222222
59.7408,97.96507062,22.6187,1.2907,0.506537037
59.8932,100.3122109,22.487382,1.249,0.518925926
60.0456,100.7663989,22.094444,1.1786,0.546401235
60.198,103.8280985,22.022308,1.1641,0.555345679
60.3504,102.7457375,21.841206,1.1969,0.544314815
60.5028,101.7775674,21.922232,1.2191,0.515395062
60.6552,98.20372948,22.15388,1.1829,0.499061728
60.8076,94.86813133,21.954744,1.2111,0.49754321
60.96,97.91749554,22.077172,1.1715,0.518080247
61.1124,95.75768605,22.447758,1.1426,0.531253086
61.2648,95.13790946,23.029672,1.0938,0.531876543
61.4172,102.230887,23.267416,1.113,0.525907407
61.5696,108.5937122,22.928834,1.1374,0.522185185
61.722,113.5402539,22.7076,1.1052,0.541709877
61.8744,103.6969132,22.34057,1.1102,0.565641975
62.0268,99.19000315,22.137878,1.1695,0.573685185
62.1792,96.9304005,21.675344,1.1985,0.593691358
62.3316,86.85457591,21.298408,1.2039,0.592314815
62.484,80.70186324,21.516848,1.2658,0.60504321
62.6364,82.3396076,21.448776,1.2684,0.595512346
62.7888,90.12618684,21.918168,1.1252,0.594549383
62.9412,96.48276062,21.775928,1.1365,0.584734568
63.0936,93.28101469,21.75256,1.0564,0.575604938
63.246,97.51282396,21.67255,1.0569,0.575987654
63.3984,100.5683533,22.095968,1.0567,0.582296296
63.5508,102.2017945,22.560026,1.0574,0.581203704
63.7032,102.0697952,22.632416,1.0609,0.580716049
63.8556,99.56812918,22.513544,1.0563,0.578160494
64.008,97.88925348,22.274276,1.0555,0.576709877
64.1604,95.63035013,22.370542,1.0674,0.569203704
64.3128,91.37240603,22.550882,1.2019,0.569938272
64.4652,94.77828371,22.512274,1.2659,0.568530864
64.6176,95.23203417,22.398482,1.2803,0.564012346
64.77,104.2785492,22.033738,1.2134,0.55241358
64.9224,112.383238,22.1996,1.0822,0.548407407
65.0748,118.9643884,22.545548,1.0479,0.541783951
65.2272,119.6598035,23.054564,1.0604,0.545561728
65.3796,116.5873174,23.29815,1.0468,0.552160494
65.532,123.3950763,23.549864,1.0695,0.563549383
65.6844,120.9004034,23.686516,1.0535,0.560944444
65.8368,120.2848089,23.39594,1.0594,0.559265432
65.9892,112.9669423,23.472648,1.0956,0.55604321
66.1416,113.1717055,23.599902,1.0805,0.559938272
66.294,111.3818993,23.673816,1.0735,0.555907407
66.4464,106.6572494,23.406608,1.0721,0.555055556
66.5988,107.0008813,22.768306,1.078,0.548209877
66.7512,102.4014857,23.117048,1.0879,0.546
66.9036,103.3235329,23.116286,1.1073,0.554444444
67.056,100.3622773,23.527004,1.0735,0.564487654
67.2084,99.76174893,23.400512,1.0662,0.571104938
67.3608,93.63451434,23.423626,1.0583,0.564864198
67.5132,89.7458644,23.193248,1.032,0.559790123
67.6656,83.8499608,22.640036,1.0151,0.56917284
67.818,81.48671445,22.441662,1.0218,0.576296296
67.9704,81.47235722,22.230334,1.0711,0.585388889
68.1228,86.63058514,22.319234,1.1417,0.582253086
68.2752,93.41767089,22.089364,1.11,0.57045679
68.4276,99.72743867,21.853144,1.1206,0.555018519
68.58,102.2095548,21.718524,1.1273,0.54004321
68.7324,99.96786791,22.017228,1.1029,0.54732716
68.8848,94.91777673,22.351238,1.0912,0.550981481
69.0372,94.0354196,22.647656,1.072,0.551617284
69.1896,90.97088925,22.624796,1.0729,0.550006173
69.342,92.47912025,22.51202,1.0666,0.555154321
69.4944,93.52259285,22.460204,1.0612,0.550567901
69.6468,95.96734498,22.177248,1.0473,0.548753086
69.7992,93.83699487,21.984716,1.0619,0.541753086
69.9516,92.99579524,22.260814,1.0959,0.542851852
70.104,94.38546654,22.466046,1.109,0.53741358
70.2564,100.3463365,22.652228,1.1096,0.528462963
70.4088,102.4367315,22.221952,1.1503,0.522018519
70.5612,105.9266227,21.962618,1.1576,0.507722222
70.7136,105.0893847,21.792946,1.1302,0.507530864
70.866,106.9538608,21.914104,1.1081,0.500574074
71.0184,114.6504425,22.544278,1.2122,0.505549383
71.1708,116.1463842,22.68474,1.1394,0.505506173
71.3232,121.0393683,22.578314,1.1027,0.514666667
71.4756,115.4178418,22.346412,1.1514,0.514919753
71.628,115.2872606,22.43328,1.2127,0.515302469
71.7804,115.0341501,22.364192,1.2328,0.513512346
71.9328,110.9239961,22.302724,1.1592,0.50367284
72.0852,110.8950053,22.033992,1.3281,0.503561728
72.2376,107.8277932,21.94306,1.3388,0.510265432
72.39,108.9782551,21.804376,1.3934,0.513796296
72.5424,105.934027,21.851874,1.4636,0.506574074
72.6948,99.37746979,22.062948,1.462,0.486962963
72.8472,96.19867647,22.225254,1.2815,0.491888889
72.9996,96.18289594,22.43709,1.4476,0.49737037
73.152,100.8459731,22.456902,1.347,0.513253086
73.3044,108.7638748,22.574758,1.3025,0.511111111
73.4568,111.0690473,22.558248,1.2586,0.507308642
73.6092,115.7061099,22.546818,1.2379,0.507759259
73.7616,116.6203717,22.416516,1.3188,0.516808642
73.914,120.1115011,22.413214,1.2357,0.521555556
74.0664,113.330036,22.15896,1.4417,0.525092593
74.2188,112.3907818,22.239732,1.5277,0.51895679
74.3712,104.2120619,21.89988,1.5577,0.548604938
74.5236,104.205543,21.98751,1.5108,0.566919753
74.676,98.7113826,21.97608,1.5068,0.559364198
74.8284,98.4624711,21.898102,1.3979,0.524493827
74.9808,96.34966676,21.865844,1.3413,0.506395062
75.1332,98.08157276,21.733002,1.2374,0.527771605
75.2856,98.5225353,21.970238,1.2224,0.551228395
75.438,103.3872733,22.020022,1.2257,0.556858025
75.5904,104.4188463,21.814282,1.1949,0.548512346
75.7428,109.0577174,21.885402,1.1233,0.532432099
75.8952,106.3737292,22.004274,1.1305,0.524296296
76.0476,101.3528334,22.469602,1.1315,0.532407407
76.2,95.99512212,22.602444,1.1528,0.541333333
76.3524,94.70019474,22.588474,1.0543,0.555074074
76.5048,92.82431239,22.117304,1.032,0.555018519
76.6572,90.01850402,22.033738,1.0633,0.553753086
76.8096,86.74847719,22.1615,1.0967,0.545512346
76.962,86.03748632,22.180042,1.0944,0.556117284
77.1144,79.97218561,21.9202,1.0741,0.549549383
77.2668,75.88783357,21.369528,1.0753,0.556759259
77.4192,78.20040697,21.211032,1.0624,0.547487654
77.5716,83.5402523,21.50745,1.0389,0.565771605
77.724,85.04143994,21.569426,1.0251,0.558216049
77.8764,78.74824416,21.923502,1.0121,0.560191358
78.0288,76.29718168,21.646896,1.0281,0.553777778
78.1812,76.74194328,21.835364,1.0383,0.559401235
78.3336,73.24788436,21.635974,1.0446,0.557283951
78.486,74.28141818,21.77796,1.053,0.560969136
78.6384,72.88534626,21.946108,1.0513,0.560179012
78.7908,72.41686652,21.92655,1.0308,0.562141975
78.9432,70.78138352,21.783294,1.0447,0.563407407
79.0956,74.71532648,21.716492,1.0586,0.572117284
79.248,81.1999132,21.734526,1.0393,0.566796296
79.4004,90.57703039,21.859748,1.1225,0.547709877
79.5528,95.88761807,22.022562,1.1693,0.51737037
79.7052,106.1863686,22.256242,1.186,0.502864198
79.8576,106.5235008,22.253194,1.1886,0.492345679
80.01,100.4811172,22.200362,1.1855,0.482703704
80.1624,103.5894932,22.054566,1.2087,0.478154321
