,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR0
1833,7215,4.581,0.034036,2.697,0,1,0.015436,0.10828,8.0262
1834,7215.5,4.95,0.035379,2.708,0,1,0.017421,0.10178,7.619
1835,7216,5.308,0.039502,2.72,0,1,0.019357,0.094675,7.2539
1836,7216.5,5.404,0.039502,2.691,0,1,0.019878,0.11183,8.3867
1837,7217,4.978,0.036716,2.631,0,1,0.017572,0.14734,10.737
1838,7217.5,4.562,0.035238,2.607,0,1,0.015334,0.16154,11.691
1839,7218,4.152,0.03424,2.612,0,1,0.013144,0.15858,11.472
1840,7218.5,4.142,0.033532,2.601,0,1,0.01309,0.16509,11.912
1841,7219,4.799,0.034425,2.612,0,1,0.016607,0.15858,11.474
1842,7219.5,5.259,0.035264,2.672,0,1,0.019091,0.12308,9.053
1843,7220,4.9,0.035662,2.732,0,1,0.017151,0.087574,6.6862
1844,7220.5,4.558,0.035863,2.736,0,1,0.015313,0.085207,6.537
1845,7221,4.362,0.037361,2.734,0,1,0.014264,0.086391,6.6555
1846,7221.5,4.517,0.03791,2.733,0,1,0.015093,0.086982,6.7094
1847,7222,5.344,0.03592,2.722,0,1,0.019552,0.093491,7.082
1848,7222.5,6.584,0.03401,2.695,0,1,0.026346,0.10947,8.1055
1849,7223,6.844,0.032183,2.632,0,1,0.027787,0.14675,10.623
1850,7223.5,6.292,0.029566,2.579,0,1,0.024734,0.17811,12.766
1851,7224,4.365,0.030444,2.555,0,1,0.01428,0.19231,13.768
1852,7224.5,3.071,0.03311,2.58,0,1,0.0074335,0.17751,12.769
1853,7225,2.943,0.034328,2.59,0,1,0.0067637,0.1716,12.374
1854,7225.5,3.572,0.039057,2.528,0,1,0.010068,0.20828,14.985
1855,7226,4.677,0.041742,2.505,0,1,0.015951,0.22189,15.965
1856,7226.5,5.684,0.044279,2.585,0,1,0.021402,0.17456,12.734
1857,7227,6.012,0.044677,2.671,0,1,0.023196,0.12367,9.2978
1858,7227.5,6.497,0.043483,2.725,0,1,0.025865,0.091716,7.1772
1859,7228,7.2,0.036403,2.714,0,1,0.029769,0.098225,7.4072
1860,7228.5,8.057,0.030312,2.706,0,1,0.034588,0.10296,7.5892
1861,7229,8.489,0.029954,2.71,0,1,0.037041,0.10059,7.4216
1862,7229.5,8.078,0.029154,2.717,0,1,0.034706,0.09645,7.1248
1863,7230,7.682,0.029154,2.716,0,1,0.032471,0.097041,7.1648
1864,7230.5,7.272,0.027562,2.706,0,1,0.030172,0.10296,7.5366
1865,7231,7.359,0.027164,2.679,0,1,0.030659,0.11893,8.6265
1866,7231.5,7.554,0.027164,2.672,0,1,0.031752,0.12308,8.9123
1867,7232,7.656,0.027839,2.68,0,1,0.032325,0.11834,8.5965
1868,7232.5,7.604,0.029685,2.699,0,1,0.032033,0.1071,7.8587
1869,7233,7.555,0.031151,2.709,0,1,0.031758,0.10118,7.4861
1870,7233.5,7.503,0.031641,2.716,0,1,0.031466,0.097041,7.2174
1871,7234,7.457,0.032731,2.717,0,1,0.031208,0.09645,7.202
1872,7234.5,7.64,0.031276,2.713,0,1,0.032235,0.098817,7.329
1873,7235,8.594,0.02995,2.705,0,1,0.037639,0.10355,7.6222
1874,7235.5,9.098,0.024378,2.693,0,1,0.040527,0.11065,8.0118
1875,7236,8.947,0.018408,2.669,0,1,0.03966,0.12485,8.9238
1876,7236.5,8.281,0.016816,2.613,0,1,0.035858,0.15799,11.235
1877,7237,7.416,0.015224,2.555,0,1,0.030978,0.19231,13.641
1878,7237.5,6.96,0.01602,2.516,0,1,0.028432,0.21538,15.272
1879,7238,7.285,0.031542,2.542,0,1,0.030244,0.2,14.317
1880,7238.5,9.859,0.055423,2.605,0,1,0.04493,0.16272,12.155
1881,7239,11.755,0.078507,2.664,0,1,0.056129,0.12781,10.606
1882,7239.5,14.648,0.095622,2.703,0,1,0.073865,0.10473,10.028
1883,7240,15.225,0.09801,2.704,0,1,0.077498,0.10414,10.112
1884,7240.5,14.844,0.089464,2.708,0,1,0.075095,0.10178,9.5818
1885,7241,14.484,0.057548,2.717,0,1,0.072838,0.09645,7.9417
1886,7241.5,14.131,0.037845,2.725,0,1,0.070636,0.091716,7.0157
1887,7242,13.775,0.028991,2.722,0,1,0.068429,0.093491,6.9214
1888,7242.5,13.4,0.01801,2.714,0,1,0.066116,0.098225,7.0613
1889,7243,13.619,0.016816,2.708,0,1,0.067465,0.10178,7.2942
1890,7243.5,15.328,0.016418,2.699,0,1,0.07815,0.1071,7.6616
1891,7244,17.87,0.017612,2.696,0,1,0.094578,0.10888,7.7988
1892,7244.5,22.891,0.02052,2.699,0,1,0.12899,0.1071,7.7109
1893,7245,24.904,0.023184,2.708,0,1,0.14356,0.10178,7.3809
1894,7245.5,25.754,0.02597,2.716,0,1,0.14985,0.097041,7.1033
1895,7246,25.452,0.026368,2.711,0,1,0.14761,0.1,7.3128
1896,7246.5,24.312,0.027562,2.701,0,1,0.13923,0.10592,7.7389
1897,7247,23.312,0.027544,2.694,0,1,0.132,0.11006,8.0224
1898,7247.5,23.505,0.027537,2.699,0,1,0.13339,0.1071,7.8195
1899,7248,23.737,0.025838,2.711,0,1,0.13506,0.1,7.3033
1900,7248.5,23.953,0.016418,2.697,0,1,0.13662,0.10828,7.7443
1901,7249,22.61,0.014428,2.671,0,1,0.127,0.12367,8.804
1902,7249.5,20.216,0.013632,2.645,0,1,0.11032,0.13905,9.8797
1903,7250,18.803,0.014428,2.638,0,1,0.10077,0.1432,10.177
1904,7250.5,18.327,0.02199,2.667,0,1,0.097601,0.12604,9.0467
1905,7251,16.782,0.02369,2.692,0,1,0.087467,0.11124,8.0424
1906,7251.5,14.204,0.025338,2.71,0,1,0.071091,0.10059,7.3351
1907,7252,11.801,0.026263,2.72,0,1,0.056405,0.094675,6.9473
1908,7252.5,11.599,0.027069,2.716,0,1,0.055195,0.097041,7.1238
1909,7253,12.796,0.031511,2.709,0,1,0.062419,0.10118,7.4937
1910,7253.5,13.425,0.032736,2.7,0,1,0.06627,0.10651,7.879
1911,7254,12.85,0.037259,2.677,0,1,0.062748,0.12012,8.8929
1912,7254.5,10.986,0.038517,2.648,0,1,0.051547,0.13728,10.082
1913,7255,10.33,0.039373,2.648,0,1,0.047681,0.13728,10.098
1914,7255.5,10.763,0.040848,2.773,0,1,0.050229,0.063314,5.3278
1915,7256,12.204,0.042289,2.839,0,1,0.05883,0.02426,3.3274
1916,7256.5,13.489,0.044279,2.838,0,1,0.066664,0.024852,3.4565
1917,7257,14.044,0.042687,2.776,0,1,0.070096,0.061538,5.2958
1918,7257.5,14.058,0.03791,2.75,0,1,0.070183,0.076923,6.064
