,starttime,resolution,speed,volume,occupancy
1207,2014-02-03T04:35:00,0:05:00,58.53,34,3.33
1209,2014-02-03T04:40:00,0:05:00,55.87,39,2.8
1212,2014-02-03T04:45:00,0:05:00,59.64,28,3.33
1213,2014-02-03T04:50:00,0:05:00,60.9,21,1.2
1215,2014-02-03T04:55:00,0:05:00,55.39,28,3.25
1217,2014-02-03T05:00:00,0:05:00,58.85,26,2.13
1220,2014-02-03T05:05:00,0:05:00,59.73,26,2.33
1221,2014-02-03T05:10:00,0:05:00,56.15,34,2.8
1223,2014-02-03T05:15:00,0:05:00,54.26,43,6.25
1225,2014-02-03T05:20:00,0:05:00,53.93,59,5.53
1227,2014-02-03T05:25:00,0:05:00,58.65,23,2.33
1230,2014-02-03T05:30:00,0:05:00,54.87,55,4.67
1231,2014-02-03T05:35:00,0:05:00,53.56,54,7.75
1234,2014-02-03T05:40:00,0:05:00,55.21,100,9.47
1235,2014-02-03T05:45:00,0:05:00,55.87,75,9.83
1237,2014-02-03T05:50:00,0:05:00,52.09,78,9.33
1240,2014-02-03T05:55:00,0:05:00,53.54,76,8.92
1242,2014-02-03T06:00:00,0:05:00,53.71,68,6.07
1244,2014-02-03T06:05:00,0:05:00,37.48,88,16.25
1245,2014-02-03T06:10:00,0:05:00,49.58,86,8.93
1247,2014-02-03T06:15:00,0:05:00,51.46,79,10.67
1250,2014-02-03T06:20:00,0:05:00,52.35,95,9.27
1251,2014-02-03T06:25:00,0:05:00,49.53,83,10.83
1253,2014-02-03T06:30:00,0:05:00,53.23,120,12.73
1256,2014-02-03T06:35:00,0:05:00,49.89,54,6.25
1257,2014-02-03T06:40:00,0:05:00,51.7,106,10.2
1260,2014-02-03T06:45:00,0:05:00,51.51,82,10.75
1261,2014-02-03T06:50:00,0:05:00,52.13,99,9.93
1263,2014-02-03T06:55:00,0:05:00,54.28,64,7.42
1265,2014-02-03T07:00:00,0:05:00,53.15,81,7.53
1268,2014-02-03T07:05:00,0:05:00,52.52,50,6.92
1269,2014-02-03T07:10:00,0:05:00,53.48,95,9.07
1272,2014-02-03T07:15:00,0:05:00,55.16,37,8.83
1273,2014-02-03T07:20:00,0:05:00,53.02,94,9.07
1275,2014-02-03T07:25:00,0:05:00,53.77,79,9.33
1278,2014-02-03T07:30:00,0:05:00,57.11,91,8.07
