,starttime,resolution,speed,volume,occupancy
472,2011-03-01T19:35:00,0:05:00,NA,NA,NA
474,2011-03-01T19:40:00,0:05:00,NA,NA,NA
476,2011-03-01T19:45:00,0:05:00,NA,NA,NA
478,2011-03-01T19:50:00,0:05:00,NA,NA,NA
480,2011-03-01T19:55:00,0:05:00,NA,NA,NA
482,2011-03-01T20:00:00,0:05:00,NA,NA,NA
484,2011-03-01T20:05:00,0:05:00,NA,NA,NA
486,2011-03-01T20:10:00,0:05:00,NA,NA,NA
488,2011-03-01T20:15:00,0:05:00,NA,NA,NA
490,2011-03-01T20:20:00,0:05:00,NA,NA,NA
492,2011-03-01T20:25:00,0:05:00,NA,NA,NA
494,2011-03-01T20:30:00,0:05:00,NA,NA,NA
496,2011-03-01T20:35:00,0:05:00,NA,NA,NA
498,2011-03-01T20:40:00,0:05:00,NA,NA,NA
500,2011-03-01T20:45:00,0:05:00,NA,NA,NA
502,2011-03-01T20:50:00,0:05:00,NA,NA,NA
504,2011-03-01T20:55:00,0:05:00,NA,NA,NA
506,2011-03-01T21:00:00,0:05:00,NA,NA,NA
508,2011-03-01T21:05:00,0:05:00,NA,NA,NA
510,2011-03-01T21:10:00,0:05:00,NA,NA,NA
512,2011-03-01T21:15:00,0:05:00,NA,NA,NA
514,2011-03-01T21:20:00,0:05:00,NA,NA,NA
516,2011-03-01T21:25:00,0:05:00,NA,NA,NA
518,2011-03-01T21:30:00,0:05:00,NA,NA,NA
520,2011-03-01T21:35:00,0:05:00,NA,NA,NA
522,2011-03-01T21:40:00,0:05:00,NA,NA,NA
524,2011-03-01T21:45:00,0:05:00,NA,NA,NA
526,2011-03-01T21:50:00,0:05:00,NA,NA,NA
528,2011-03-01T21:55:00,0:05:00,NA,NA,NA
530,2011-03-01T22:00:00,0:05:00,NA,NA,NA
532,2011-03-01T22:05:00,0:05:00,NA,NA,NA
534,2011-03-01T22:10:00,0:05:00,NA,NA,NA
536,2011-03-01T22:15:00,0:05:00,NA,NA,NA
538,2011-03-01T22:20:00,0:05:00,NA,NA,NA
540,2011-03-01T22:25:00,0:05:00,NA,NA,NA
542,2011-03-01T22:30:00,0:05:00,NA,NA,NA
544,2011-03-01T22:35:00,0:05:00,NA,NA,NA
546,2011-03-01T22:40:00,0:05:00,NA,NA,NA
548,2011-03-01T22:45:00,0:05:00,NA,NA,NA
550,2011-03-01T22:50:00,0:05:00,NA,NA,NA
552,2011-03-01T22:55:00,0:05:00,NA,NA,NA
554,2011-03-01T23:00:00,0:05:00,NA,NA,NA
556,2011-03-01T23:05:00,0:05:00,NA,NA,NA
558,2011-03-01T23:10:00,0:05:00,NA,NA,NA
560,2011-03-01T23:15:00,0:05:00,NA,NA,NA
562,2011-03-01T23:20:00,0:05:00,NA,NA,NA
564,2011-03-01T23:25:00,0:05:00,NA,NA,NA
566,2011-03-01T23:30:00,0:05:00,NA,NA,NA
568,2011-03-01T23:35:00,0:05:00,NA,NA,NA
570,2011-03-01T23:40:00,0:05:00,NA,NA,NA
572,2011-03-01T23:45:00,0:05:00,NA,NA,NA
574,2011-03-01T23:50:00,0:05:00,NA,NA,NA
576,2011-03-01T23:55:00,0:05:00,NA,NA,NA
578,2011-03-02T00:00:00,0:05:00,61.91,11,0.46
580,2011-03-02T00:05:00,0:05:00,61,6,1
581,2011-03-02T00:10:00,0:05:00,61.33,6,0.92
584,2011-03-02T00:15:00,0:05:00,65,4,0.2
586,2011-03-02T00:20:00,0:05:00,66.75,8,0.25
588,2011-03-02T00:25:00,0:05:00,67,2,0
589,2011-03-02T00:30:00,0:05:00,59.67,6,0.46
591,2011-03-02T00:35:00,0:05:00,NA,0,0
594,2011-03-02T00:40:00,0:05:00,58.33,3,0.38
595,2011-03-02T00:45:00,0:05:00,60.8,5,0.5
597,2011-03-02T00:50:00,0:05:00,63,2,0.08
600,2011-03-02T00:55:00,0:05:00,67.5,4,0.2
601,2011-03-02T01:00:00,0:05:00,64,5,0.56
604,2011-03-02T01:05:00,0:05:00,69,2,0
606,2011-03-02T01:10:00,0:05:00,NA,0,0
607,2011-03-02T01:15:00,0:05:00,NA,0,0
609,2011-03-02T01:20:00,0:05:00,NA,0,0
611,2011-03-02T01:25:00,0:05:00,NA,0,0
614,2011-03-02T01:30:00,0:05:00,62,1,0.07
615,2011-03-02T01:35:00,0:05:00,70,3,0.07
618,2011-03-02T01:40:00,0:05:00,60,3,0
620,2011-03-02T01:45:00,0:05:00,NA,0,0
622,2011-03-02T01:50:00,0:05:00,NA,0,0
624,2011-03-02T01:55:00,0:05:00,70,2,0.13
626,2011-03-02T02:00:00,0:05:00,NA,0,0
627,2011-03-02T02:05:00,0:05:00,NA,0,0
630,2011-03-02T02:10:00,0:05:00,67,1,0
632,2011-03-02T02:15:00,0:05:00,59,3,0.53
634,2011-03-02T02:20:00,0:05:00,NA,0,0
635,2011-03-02T02:25:00,0:05:00,0,2,0
638,2011-03-02T02:30:00,0:05:00,62,2,0.13
640,2011-03-02T02:35:00,0:05:00,61.83,6,0.13
642,2011-03-02T02:40:00,0:05:00,61,3,0.27
644,2011-03-02T02:45:00,0:05:00,NA,0,0
646,2011-03-02T02:50:00,0:05:00,29.5,4,0.29
648,2011-03-02T02:55:00,0:05:00,NA,0,0
650,2011-03-02T03:00:00,0:05:00,NA,0,0
652,2011-03-02T03:05:00,0:05:00,62.2,5,0.27
653,2011-03-02T03:10:00,0:05:00,63.67,6,0.27
656,2011-03-02T03:15:00,0:05:00,NA,0,0
658,2011-03-02T03:20:00,0:05:00,NA,0,0
660,2011-03-02T03:25:00,0:05:00,61,4,0.27
662,2011-03-02T03:30:00,0:05:00,63.6,15,0.8
664,2011-03-02T03:35:00,0:05:00,61.43,7,0.2
666,2011-03-02T03:40:00,0:05:00,65.75,8,0.4
667,2011-03-02T03:45:00,0:05:00,66.82,11,0.4
670,2011-03-02T03:50:00,0:05:00,65.33,9,0.07
672,2011-03-02T03:55:00,0:05:00,62.67,6,0
674,2011-03-02T04:00:00,0:05:00,61.43,14,1
675,2011-03-02T04:05:00,0:05:00,65.8,5,0.36
678,2011-03-02T04:10:00,0:05:00,67.44,9,0.53
680,2011-03-02T04:15:00,0:05:00,61.4,5,0.5
682,2011-03-02T04:20:00,0:05:00,64.33,3,0.25
684,2011-03-02T04:25:00,0:05:00,62.67,24,1.07
686,2011-03-02T04:30:00,0:05:00,63.54,26,1.67
688,2011-03-02T04:35:00,0:05:00,64.32,38,2.87
690,2011-03-02T04:40:00,0:05:00,65.77,35,1.93
692,2011-03-02T04:45:00,0:05:00,65.92,49,2.8
694,2011-03-02T04:50:00,0:05:00,63.25,44,3.07
696,2011-03-02T04:55:00,0:05:00,63.52,29,3.67
698,2011-03-02T05:00:00,0:05:00,66.13,46,2.87
700,2011-03-02T05:05:00,0:05:00,65.76,55,3.67
702,2011-03-02T05:10:00,0:05:00,64.62,52,3.93
704,2011-03-02T05:15:00,0:05:00,64.19,75,5.8
706,2011-03-02T05:20:00,0:05:00,64.73,98,7.53
708,2011-03-02T05:25:00,0:05:00,63.26,124,9.13
710,2011-03-02T05:30:00,0:05:00,63.71,149,11.4
712,2011-03-02T05:35:00,0:05:00,62.98,140,11.27
714,2011-03-02T05:40:00,0:05:00,63.87,113,9.27
716,2011-03-02T05:45:00,0:05:00,62.53,160,12.6
718,2011-03-02T05:50:00,0:05:00,65.9,122,9.2
720,2011-03-02T05:55:00,0:05:00,63.61,121,10.47
722,2011-03-02T06:00:00,0:05:00,63.31,145,11.73
724,2011-03-02T06:05:00,0:05:00,59.93,164,14
726,2011-03-02T06:10:00,0:05:00,58.23,101,14.11
728,2011-03-02T06:15:00,0:05:00,53.57,119,18.44
730,2011-03-02T06:20:00,0:05:00,52.48,146,17.08
732,2011-03-02T06:25:00,0:05:00,54.18,131,16.36
734,2011-03-02T06:30:00,0:05:00,52.62,180,17.07
736,2011-03-02T06:35:00,0:05:00,39.1,151,30.33
738,2011-03-02T06:40:00,0:05:00,31.31,84,31.33
740,2011-03-02T06:45:00,0:05:00,29.02,129,36.6
742,2011-03-02T06:50:00,0:05:00,44.27,146,22.46
744,2011-03-02T06:55:00,0:05:00,27.77,109,29.55
746,2011-03-02T07:00:00,0:05:00,23.53,86,35.89
748,2011-03-02T07:05:00,0:05:00,46.57,162,17.67
750,2011-03-02T07:10:00,0:05:00,27.54,137,31.47
752,2011-03-02T07:15:00,0:05:00,23.93,152,35.8
754,2011-03-02T07:20:00,0:05:00,43.51,168,21.6
756,2011-03-02T07:25:00,0:05:00,36.43,108,25.8
