AC,CAL,GR,K,RD,SP,Core Lithology,,1,coarse sandstone
0.34339127,0.018922982,0.203690848,0.55647272,0.013087893,0.956838464,7,,,
0.210050813,0.266822884,0.075532487,0.287094826,0.015974236,0.353585433,2,,,
0.207665694,0.097577151,0.107720427,0.355747936,0.013014109,0.363174381,3,,,
0.291317724,0.16867097,0.245369323,0.62854842,0.015606046,0.243684365,2,,,
0.186912951,0.069502166,0.153592614,0.445741897,0.01318615,0.3668139,3,,,
0.190608473,0.069148466,0.160416671,0.460036239,0.013350886,0.367867445,3,,,
0.329511066,0.025024317,0.207867444,0.613851419,0.013514891,0.962663947,7,,,
0.215487253,0.113803166,0.098684448,0.340044292,0.013210258,0.362543381,3,,,
0.169484921,0.052789813,0.067002417,0.236158647,0.014950756,0.794203813,3,,,
0.194137444,0.067910514,0.16533311,0.473525267,0.01351416,0.368932258,3,,,
0.167489465,0.047882218,0.070952686,0.246426414,0.01509248,0.792124893,3,,,
0.196616838,0.066893625,0.169076071,0.485604993,0.013792859,0.369985802,3,,,
0.240859397,0.218100628,0.100618692,0.229514798,0.012370143,0.232010862,3,,,
0.217077333,0.026881245,0.159522773,0.259110127,0.015196581,0.374577455,3,,,
0.217564412,0.094216995,0.195752272,0.386148581,0.012822709,0.962354081,7,,,
0.213711768,0.345963392,0.14357525,0.308838333,0.014188809,0.391428539,2,,,
0.215911483,0.272880007,0.066045756,0.276827059,0.017098894,0.352143147,2,,,
0.199023955,0.095941286,0.145579864,0.45339239,0.013197839,0.438922567,2,,,
0.235199844,0.055044655,0.211985081,0.471109322,0.013584657,0.492923784,4,,,
0.22973198,0.03435317,0.345710335,0.579625528,0.013271257,0.522868121,2,,,
0.195567259,0.067954726,0.16756215,0.431447554,0.013284407,0.48217988,2,,,
0.211527765,0.031788841,0.35217493,0.580430844,0.013331161,0.522992067,2,,,
0.231516892,0.153373419,0.249741816,0.623313872,0.015504136,0.244349168,2,,,
0.245463087,0.221283933,0.292924701,0.829071874,0.015970948,0.217030243,2,,,
0.195897217,0.06698205,0.169414611,0.49426213,0.014490154,0.371011178,3,,,
0.285947276,0.213988858,0.254859858,0.427018321,0.013859338,0.41703475,7,,,
0.181517364,0.082235388,0.109768785,0.36661969,0.014125252,0.393434218,3,,,
0.334259309,0.334954461,0.279105417,0.50895913,0.014096031,0.320519899,2,,,
0.577217863,0.436908657,0.184340807,0.220455003,0.015494274,0.454106008,1,,,
0.171958029,0.421257406,0.104194284,0.176565331,0.014019325,0.392397575,2,,,
0.209767993,0.046069502,0.145697783,0.358767868,0.016292383,0.377912742,3,,,
0.262507738,0.017154479,0.21035134,0.38957117,0.014445592,0.947339658,3,,,
0.250525575,0.213546733,0.297034731,0.863700423,0.018163283,0.20428066,2,,,
0.215864347,0.028826598,0.135242979,0.292732031,0.016859643,0.375045071,3,,,
0.2429397,0.147493147,0.080903484,0.276827059,0.017437131,0.088452698,3,,,
0.174845941,0.091298965,0.229577757,0.3911818,0.01753758,0.151209041,5,,,
