AC,CAL,GR,K,RD,SP,Core Lithology
0.017591437,0.088469361,1.14115E-05,0.062411919,0.0918377,0.492901248,5
0.021431512,0.015872314,0.001344651,0.028991343,0.068452556,0.523972371,5
0.256427097,0.136174728,0.073113257,0.266961949,0.019897937,0.101641727,3
0.208639853,0.285215315,0.096289943,0.312059593,0.008824493,0.360019381,2
0.233675756,0.291626138,0.080709489,0.314072881,0.008365352,0.352712174,2
0.247483683,0.19992926,0.080732312,0.241191866,0.040589235,0.383383288,2
0.181086848,0.023211601,0.144775356,0.230521442,0.021096744,0.373467571,3
0.239492431,0.120213989,0.095105052,0.330179183,0.03239848,0.100965656,4
0.23751583,0.297373773,0.08003431,0.315280854,0.008148383,0.353630504,2
0.231388052,0.116986471,0.030873719,0.124622509,0.030328145,0.345793708,1
0.399515434,0.202670439,0.240097226,0.63660157,0.014012019,0.239853292,2
0.0115925,0.052347688,0.006017646,0.067445138,0.034753724,0.5324289,5
0.061280926,0.101069944,0.005009633,0.044292329,0.170766123,0.434060486,5
0.038265619,0.031390928,0.01029124,0.051741494,0.048270806,0.532919052,5
0.055960757,0.170483686,0.016156733,0.057378699,0.294258984,0.691429666,5
0.0403962,0.168184632,0.016603682,0.056372056,0.284410647,0.695919908,5
0.267372252,0.154788222,0.249266338,0.623313872,0.014064618,0.243847749,2
0.289089726,0.0446547,0.071977816,0.054962754,0.10638374,-0.043708027,2
0.168378778,0.121584579,0.050374011,0.218240387,0.017359329,0.136408708,3
0.061972265,0.16694668,0.018750939,0.057781357,0.296478348,0.687536621,5
0.151962617,0.054116191,0.120552619,0.343466881,0.018766339,0.948787578,2
0.161471672,0.108320806,0.055277137,0.232937387,0.016670435,0.137805922,3
0.184241868,0.22535149,0.118146702,0.336017717,0.010702698,0.363027899,2
0.150485666,0.059067999,0.17263835,0.463861486,0.038418086,0.121844999,4
0.197710411,0.075249801,0.165610789,0.336420374,0.016126187,0.37758034,3
0.224977453,0.222875586,0.077493358,0.211395208,0.048212363,0.372549241,2
0.280174595,0.128570165,0.074885838,0.277431045,0.019790914,0.103236129,3
0.239938659,0.301927668,0.078693463,0.312059593,0.008036246,0.354616442,2
0.288835188,0.166681404,0.217181102,0.501912623,0.009143371,0.261003065,2
0.211468059,0.130161818,0.23193042,0.541373062,0.018297701,0.136656601,1
0.233971146,0.066186223,0.105377273,0.224481578,0.004143227,0.343331681,7
0.247021743,0.1564683,0.046427546,0.139722166,0.056790301,0.278293595,2
0.057060615,0.166548766,0.02261372,0.056774713,0.288409959,0.684077388,5
0.169280662,0.149747988,0.135233469,0.357962553,0.014443765,0.365416685,2
0.251540586,0.153506057,0.078413882,0.258707469,0.019436604,0.080807455,3
0.276457076,0.131311345,0.072314454,0.268572579,0.019804429,0.102560058,3
0.019706307,0.013705898,0.003039254,0.028387357,0.077130212,0.524169559,5
0.065092718,0.041029269,0.006972405,0.064827864,0.216050503,0.4323027,5
0.22911606,0.28530374,0.079501775,0.303603785,0.008621039,0.351855816,2
0.194483114,0.133521974,0.158921769,0.283470908,0.022097212,0.196635417,3
0.210273927,0.078565744,0.163189657,0.53191061,0.011180833,0.456630009,2
0.29041584,0.038730215,0.07019002,0.061002617,0.076878177,-0.049781404,2
0.147962278,0.043195685,0.12761061,0.341856251,0.022176475,0.950641141,2
0.197361599,0.139004333,0.049615148,0.185222468,0.080271511,0.35991797,2
0.232811582,0.155716686,0.24832299,0.624924502,0.016200701,0.245199892,2
0.141447978,0.05376249,0.130862878,0.383732635,0.046471865,0.117889981,4
0.237742087,0.105402777,0.021314715,0.091000604,0.023114846,0.074886195,3
0.178038671,0.151560704,0.104510001,0.349506745,0.031201499,0.427682877,2
0.251521732,0.181359979,0.068811135,0.238171935,0.020329318,0.075663677,3
0.28381041,0.059863825,0.108912925,0.124823837,0.090949005,-0.021842746,2
0.242169799,0.032098329,0.033642901,0.095832494,0.030236098,0.321888944,5
0.027106777,0.051817137,0.025401921,0.132474331,0.082923716,0.333810339,5
0.043491514,0.036431161,0.008376015,0.049728206,0.049079143,0.534558525,5
0.175355018,0.175966045,0.131758678,0.354338635,0.012667836,0.364689909,2
0.240224622,0.304668848,0.078480449,0.308838333,0.008027845,0.355647451,2
