"DEPT,m","LITHOLOGY_GEOLINK,_",LITH,"GR,gAPI","NPHI,m3/m3","RHOB,g/cm3","DTC,us/ft","RDEP,ohm.m","RMED,ohm.m","Igr,m3/m3",GR_s,GR_std,RHOB_std,NPHI_std,DTC_std,"DPHI,m3/m3","deltaPHI,m3/m3","APHI,m3/m3",log10RMED,log10RDEP,M,N,"DT_m,us/ft","rho_m,g/cm3","Vp,km/s",rho_Vp,rho_Vp2,GR_grad,RHOB_grad,NPHI_grad,DTC_grad,log10RDEP_grad,log10RMED_grad,DPHI_grad,deltaPHI_grad,APHI_grad,M_grad,N_grad,DTm_grad,rhom_grad,rhoVp_grad,rhoVp2_grad,"groupTop,m","DgroupTop,m",Cromer Knoll,Hegre,Rogaland,Rotliegend,Shetland,Vestland,Viking,Zechstein,LITH_g,prob_c,prob_a
2939.430176,2,2,60.55994415,0.287208468,2.333578825,90.04676819,0.70198077,0.855019271,0.224772347,0.548484486,5.784447351,0.033073769,0.01215519,1.140701243,0.220129342,0.067079126,0.253668905,-0.068024097,-0.153674785,0.74201262,0.534495238,50.17507382,2.870924057,3.384907603,7.898948706,26.73721153,5.138413065,0.293645913,0.00420457,-0.838239839,0.220843016,0.107496955,-0.171722756,0.175927326,-0.083759093,-0.152002064,-0.116923219,-1.996681835,0.423382608,1.069011143,3.872891389,2821,118.430176,0,1,0,0,0,0,0,0,0,0.000348986,5.29E-07
2939.58252,2,2,61.34275055,0.287849009,2.378314018,89.91906738,0.728956699,0.923889458,0.227975752,0.575368291,6.680506964,0.030794445,0.01269032,1.088808575,0.193968411,0.093880598,0.24090871,-0.034379988,-0.137298269,0.718856018,0.516682687,49.87089132,2.935423857,3.389714764,8.06180614,27.3272233,-23.95181564,0.198496695,-0.090105742,-1.264930059,0.248009669,0.148507864,-0.116079939,0.025974197,-0.10309284,-0.092322538,-0.00884174,15.52795639,0.033206536,0.787944684,3.061893354,2821,118.58252,0,1,0,0,0,0,0,0,0,0.000249852,1.20E-06
2939.734863,2,2,57.6938591,0.27412203,2.4085536,89.72636414,0.767937481,1.007865429,0.213043738,0.450054947,7.319704111,0.030679128,0.015398722,1.328491137,0.176284444,0.097837586,0.225203237,0.003402549,-0.114674135,0.704791325,0.51533571,52.23646679,2.940482641,3.396994776,8.181843997,27.79368131,39.62573623,-0.016534238,-0.154561499,5.625591687,0.294744125,0.244742364,0.009669145,-0.164230644,-0.072446177,-0.031722353,0.115987309,35.71269534,-0.42226822,-0.563760637,-3.623071976,2821,118.734863,0,1,0,0,0,0,0,0,0,0.000246328,2.47E-06
2939.887207,2,2,63.73060226,0.250575513,2.406034708,90.58338928,0.836779237,1.117648006,0.237747332,0.657373932,7.703622594,0.031242407,0.017629182,1.620994929,0.177757481,0.072818032,0.214166497,0.048305048,-0.077389104,0.699958615,0.533005681,57.67708164,2.876152611,3.36485522,8.095958446,27.24172804,4.216572011,-0.164129571,-0.075151513,2.804998034,0.173476092,0.287920348,0.095982205,-0.171133718,0.010415346,0.062878004,0.11776584,16.65692224,-0.401010124,-0.799194832,-3.516126293,2821,118.887207,0,1,0,0,0,0,0,0,0,0.000264308,3.08E-06
2940.039795,2,2,64.37400055,0.239108294,2.380990505,91.01139832,0.925857365,1.187887788,0.24038025,0.679470065,7.908670231,0.031247916,0.018241692,1.66391957,0.192403213,0.046705081,0.215755754,0.074775418,-0.033455914,0.709553044,0.550975335,60.2187281,2.814963278,3.349030955,7.974010905,26.70520936,17.62256722,-0.135701275,0.0332376,-0.706479218,0.122204258,0.179137222,0.079357471,-0.04611987,0.056297536,0.075976429,0.030529978,-6.597874967,-0.099726704,-0.393034019,-1.110295967,2821,119.039795,0,1,0,0,0,0,0,0,0,0.000455642,3.04E-06
2940.192139,2,2,67.05869293,0.244171843,2.36031723,90.90377045,0.985903859,1.239916682,0.251366563,0.771670062,7.878757077,0.033353795,0.018336855,1.719628936,0.204492848,0.039678995,0.224332345,0.093392503,-0.006165433,0.721127597,0.555626394,59.21358143,2.799770513,3.352996127,7.914134531,26.53606243,-20.864661,0.033286236,0.044355855,-3.093064138,0.007069377,0.011801056,-0.019465635,0.06382149,0.01244511,0.005073296,-0.046031281,-11.81443871,0.151009207,0.382877235,2.198087861,2821,119.192139,0,1,0,0,0,0,0,0,0,0.000574195,2.61E-06
2940.344482,2,2,63.88010788,0.250929147,2.365388155,90.43256378,0.989993572,1.242995262,0.23835914,0.662508382,7.818717812,0.038530141,0.018382866,2.036594342,0.201527395,0.049401752,0.226228271,0.094469473,-0.004367625,0.721900478,0.54861385,57.41373439,2.822775709,3.370467202,7.972463197,26.87092573,0.581529499,0.170051489,0.027159429,-8.591932994,0.293044523,-0.093344303,-0.099445315,0.126604744,-0.036142943,-0.0264796,-0.086575511,-16.33131606,0.294733827,1.350153218,7.207963249,2821,119.344482,0,1,0,0,0,0,0,0,0,0.000605566,2.95E-06
2940.496826,2,2,63.96870041,0.255066723,2.391294479,89.12363434,0.958102405,1.377568007,0.238721679,0.665550902,7.816739448,0.043284909,0.018622497,2.492461607,0.186377498,0.068689225,0.22072211,0.139113048,-0.01858807,0.71786647,0.535424591,54.92575638,2.867676639,3.419968143,8.178150939,27.96901568,-38.23587261,0.18038581,0.057339017,-12.1776413,0.188417858,-0.180922345,-0.105488778,0.162827795,-0.02407488,-0.005438686,-0.108485998,-26.98418583,0.390495503,1.771286827,10.08972763,2821,119.496826,0,1,0,0,0,0,0,0,0,0.000396617,3.59E-06
2940.649414,2,2,58.13436508,0.263815969,2.418819189,87.26547241,0.899094522,1.471849322,0.214846379,0.46518318,7.839152519,0.044927588,0.018622265,2.811247302,0.170281176,0.093534793,0.217048573,0.167863352,-0.046194648,0.717036592,0.518870929,50.80829343,2.927261567,3.492790239,8.448428054,29.50858704,-42.24682567,0.010386914,0.041117478,-3.076116749,-0.108087522,-0.146450268,-0.006074219,0.047191696,0.017521629,0.016413225,-0.03274211,-11.99886396,0.12279571,0.335891039,2.225327953,2821,119.649414,0,1,0,0,0,0,0,0,0,0.000300175,4.30E-06
2940.801758,2,2,51.69831467,0.27007997,2.420401573,86.79684448,0.854072094,1.417088151,0.188508738,0.244150845,8.414280127,0.042931709,0.018667124,2.909124346,0.169355805,0.100724165,0.219717888,0.151396867,-0.068505468,0.719537048,0.513882865,48.9803385,2.945968756,3.511648287,8.499599038,29.8476024,-46.97162763,-0.16612177,-0.052100654,8.076158628,-0.40525755,-0.006913941,0.097147234,-0.149247888,0.02252329,0.027789657,0.098536581,20.83231478,-0.362547111,-1.355013289,-7.430226314,2821,119.801758,0,1,0,0,0,0,0,0,0,0.000340755,3.92E-06
2940.954102,1,1,44.54246903,0.262142748,2.395093918,88.02719879,0.852003217,1.229301214,0.159225546,-0.001601312,10.01487758,0.0387556,0.019884593,2.923382543,0.184155604,0.077987144,0.223149176,0.089658311,-0.069558765,0.723770636,0.528894322,52.15401667,2.890736879,3.462566053,8.293170894,28.71565201,-10.51520103,-0.23144176,-0.127485956,15.23184583,-0.331850573,0.03650099,0.135346058,-0.262832014,0.003930051,0.011172155,0.18376797,43.15159081,-0.62392362,-2.178957797,-12.19222116,2821,119.954102,0,1,0,0,0,0,0,0,0,0.000670748,3.20E-06
